,age,age_num,marital status,workinghours,workinghours_num,education,education_num,workclass,occupation,race,sex,income
5277,50-59,5,Separated,40-49,3,High School or GED Diploma,5,governmental,Management/Business,White alone,Female,low
6943,30-39,3,Married,More than 50,4,Doctorate Degree,10,governmental,Education,White alone,Female,low
7159,25-29,2,Never married,20-39,2,"Started High School, No Diploma",4,private,Transport,Black or African American alone,Male,low
21425,25-29,2,Never married,40-49,3,High School or GED Diploma,5,private,Office/Administrative Support,White alone,Female,low
16221,50-59,5,Married,40-49,3,Doctorate Degree,10,private,Legal Services,White alone,Male,high
11107,60-69,6,Married,40-49,3,Associate Degree,7,private,Sales,White alone,Female,high
21777,30-39,3,Married,20-39,2,Elementary School,2,private,Construction/Extraction,White alone,Male,low
8009,Younger than 25,1,Never married,20-39,2,Bachelor Degree,8,private,Sales,White alone,Male,low
5072,40-49,4,Married,40-49,3,Bachelor Degree,8,private,Repair/Maintenance,White alone,Male,low
17169,Older than 70,7,Widowed,40-49,3,Associate Degree,7,private,Sales,Black or African American alone,Female,low
14122,40-49,4,Separated,40-49,3,"Started College, No Diploma",6,private,Healthcare/Medical Services,Black or African American alone,Female,low
15902,Younger than 25,1,Never married,20-39,2,"Started High School, No Diploma",4,private,Sales,White alone,Female,low
496,25-29,2,Never married,40-49,3,"Started High School, No Diploma",4,private,Construction/Extraction,White alone,Male,low
16897,40-49,4,Never married,40-49,3,"Started College, No Diploma",6,private,Sales,White alone,Male,low
19455,60-69,6,Never married,40-49,3,Bachelor Degree,8,self employed,Finance/Accounting,White alone,Male,low
9034,40-49,4,Married,40-49,3,Associate Degree,7,private,Entertainment,White alone,Male,low
18820,25-29,2,Never married,20-39,2,"Started High School, No Diploma",4,private,Service/Hospitality,Black or African American alone,Male,low
8242,40-49,4,Married,40-49,3,Associate Degree,7,private,Management/Business,White alone,Male,high
11251,Younger than 25,1,Never married,40-49,3,Associate Degree,7,private,Service/Hospitality,Black or African American alone,Male,low
20557,Younger than 25,1,Never married,20-39,2,Associate Degree,7,governmental,Office/Administrative Support,Other,Male,low
12299,40-49,4,Married,40-49,3,Bachelor Degree,8,governmental,Education,White alone,Female,low
21336,60-69,6,Married,Less than 20,1,Middle School,3,self employed,Service/Hospitality,White alone,Female,low
16724,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
16422,Younger than 25,1,Never married,40-49,3,High School or GED Diploma,5,private,"Farming, Fishing, Forestry",White alone,Male,low
12315,50-59,5,Never married,More than 50,4,Master or other Degree Beyond Bachelor,9,private,Education,White alone,Female,low
16450,Younger than 25,1,Never married,Less than 20,1,High School or GED Diploma,5,private,Sales,White alone,Female,low
523,Younger than 25,1,Never married,20-39,2,"Started College, No Diploma",6,private,Sales,Black or African American alone,Male,low
19345,40-49,4,Never married,40-49,3,High School or GED Diploma,5,private,Production/Assembly,Black or African American alone,Male,low
2629,40-49,4,Separated,20-39,2,"Started College, No Diploma",6,private,Office/Administrative Support,White alone,Female,low
